nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
satwikkansal/wtfpython,36913,2017-08-28 20:22:19+00:00,3108,2026-03-03 19:24:09+00:00,0,Python,113,2,224,158,0.7054
AobingJava/JavaFamily,36895,2019-11-12 04:26:18+00:00,2303,2026-03-03 16:29:39+00:00,0,,2,0,66,60,0.9091
babysor/MockingBird,36874,2021-08-07 03:53:39+00:00,1669,2026-03-03 15:02:25+00:00,0,Python,82,1,892,415,0.4652
inkonchain/docs,36831,2024-05-07 16:49:36+00:00,665,2026-03-03 14:22:45+00:00,0,MDX,406,0,37,13,0.3514
drawdb-io/drawdb,36814,2023-07-16 17:09:20+00:00,961,2026-03-03 17:08:46+00:00,0,JavaScript,349,0,337,214,0.635
inkonchain/node,36782,2024-05-13 23:20:40+00:00,658,2026-03-03 05:16:21+00:00,0,Shell,36,6,26,13,0.5
PKUanonym/REKCARC-TSC-UHT,36765,2019-04-05 03:31:23+00:00,2524,2026-03-03 15:29:27+00:00,0,HTML,175,0,34,32,0.9412
exelban/stats,36756,2019-05-29 19:24:56+00:00,2470,2026-03-03 17:48:41+00:00,0,Swift,433,321,2450,2427,0.9906
sqlmapproject/sqlmap,36740,2012-06-26 09:52:15+00:00,4998,2026-03-03 19:59:55+00:00,0,Python,180,11,5392,5353,0.9928
portainer/portainer,36736,2016-05-19 20:15:28+00:00,3574,2026-03-03 15:40:58+00:00,0,TypeScript,4784,176,6028,5342,0.8862
inkonchain/ink-kit,36687,2024-11-04 16:32:17+00:00,484,2026-03-03 14:22:44+00:00,0,TypeScript,91,0,5,3,0.6
shadowsocks/shadowsocks-android,36681,2012-12-16 13:40:29+00:00,4825,2026-03-03 19:58:16+00:00,0,Kotlin,258,186,2513,2459,0.9785
roboflow/supervision,36623,2022-11-28 14:08:44+00:00,1191,2026-03-03 11:31:01+00:00,0,Python,1120,35,517,431,0.8337
markedjs/marked,36620,2011-07-24 13:15:51+00:00,5336,2026-03-03 18:59:49+00:00,0,TypeScript,1641,165,1652,1643,0.9946
open-guides/og-aws,36597,2016-07-13 17:30:16+00:00,3520,2026-03-03 19:24:25+00:00,0,Shell,498,0,228,88,0.386
alebcay/awesome-shell,36570,2014-07-07 01:57:42+00:00,4257,2026-03-03 19:54:32+00:00,0,,307,0,63,23,0.3651
nextlevelbuilder/ui-ux-pro-max-skill,36538,2025-11-30 11:36:31+00:00,93,2026-03-03 19:56:47+00:00,0,Python,60,14,67,26,0.3881
code-yeongyu/oh-my-opencode,36538,2025-12-03 01:40:05+00:00,90,2026-03-03 19:43:10+00:00,0,TypeScript,631,147,1158,964,0.8325
date-fns/date-fns,36496,2014-10-06 10:24:22+00:00,4166,2026-03-03 14:17:55+00:00,0,TypeScript,1068,122,2038,1382,0.6781
gkd-kit/gkd,36481,2023-07-04 03:59:15+00:00,973,2026-03-03 19:05:16+00:00,0,Kotlin,8,64,735,725,0.9864
duckdb/duckdb,36426,2018-06-26 15:04:45+00:00,2807,2026-03-03 19:05:02+00:00,0,C++,9586,56,6582,6045,0.9184
huggingface/pytorch-image-models,36425,2019-02-02 05:51:12+00:00,2586,2026-03-03 19:18:05+00:00,0,Python,522,75,1026,978,0.9532
karpathy/LLM101n,36403,2024-05-27 00:23:38+00:00,645,2026-03-03 19:59:40+00:00,0,,0,0,0,0,0.0
fengdu78/Coursera-ML-AndrewNg-Notes,36382,2017-11-04 10:04:08+00:00,3041,2026-03-03 14:57:47+00:00,0,HTML,14,0,69,15,0.2174
typeorm/typeorm,36361,2016-02-29 07:41:14+00:00,3655,2026-03-03 17:48:28+00:00,0,TypeScript,2372,40,8541,8127,0.9515
chatanywhere/GPT_API_free,36332,2023-04-23 12:42:08+00:00,1045,2026-03-03 15:20:31+00:00,0,Python,1,0,418,365,0.8732
DavidHDev/react-bits,36329,2024-08-06 06:54:54+00:00,574,2026-03-03 19:04:37+00:00,0,JavaScript,155,0,476,470,0.9874
SheetJS/sheetjs,36205,2012-12-03 19:25:52+00:00,4838,2026-03-03 06:51:00+00:00,0,,106,0,2386,2267,0.9501
hankcs/HanLP,36168,2014-10-09 06:36:16+00:00,4163,2026-03-03 16:00:02+00:00,0,Python,79,62,1434,1426,0.9944
slatedocs/slate,36162,2013-09-13 22:15:24+00:00,4553,2026-02-28 03:57:40+00:00,3,,298,28,609,559,0.9179
formulahendry/955.WLB,36138,2019-03-27 23:53:37+00:00,2532,2026-03-03 12:42:07+00:00,0,,18,0,263,81,0.308
lerna/lerna,36089,2015-12-04 09:36:55+00:00,3742,2026-03-02 23:50:49+00:00,0,TypeScript,1021,249,2692,2312,0.8588
juanfont/headscale,36055,2020-06-21 09:21:05+00:00,2081,2026-03-03 19:31:52+00:00,0,Go,1232,132,1234,1156,0.9368
myshell-ai/OpenVoice,36026,2023-11-29 12:17:01+00:00,825,2026-03-03 10:11:31+00:00,0,Python,18,0,348,73,0.2098
geekxh/hello-algorithm,36017,2020-05-29 05:47:09+00:00,2104,2026-03-03 16:44:46+00:00,0,Java,26,0,44,33,0.75
666ghj/BettaFish,36012,2024-07-01 13:11:38+00:00,610,2026-03-03 19:53:07+00:00,0,Python,103,6,389,374,0.9614
XingangPan/DragGAN,35976,2023-05-18 10:08:02+00:00,1020,2026-03-03 09:03:52+00:00,0,Python,18,0,192,46,0.2396
carbon-app/carbon,35958,2017-06-16 02:50:28+00:00,3182,2026-03-03 07:19:51+00:00,0,JavaScript,669,215,689,627,0.91
aseprite/aseprite,35904,2014-08-19 23:44:50+00:00,4213,2026-03-03 17:16:12+00:00,0,C++,480,123,4480,2639,0.5891
opentofu/manifesto,35890,2023-08-13 16:17:24+00:00,933,2026-03-03 11:05:52+00:00,0,HTML,765,0,26,14,0.5385
servo/servo,35851,2012-02-08 19:07:25+00:00,5137,2026-03-03 18:45:15+00:00,0,Rust,23039,5,15211,12328,0.8105
qbittorrent/qBittorrent,35796,2012-02-04 09:37:46+00:00,5141,2026-03-03 20:00:45+00:00,0,C++,4120,0,17271,14818,0.858
deepseek-ai/awesome-deepseek-integration,35762,2024-01-11 02:43:17+00:00,782,2026-03-03 18:06:33+00:00,0,,289,0,156,154,0.9872
reworkd/AgentGPT,35762,2023-04-07 02:29:19+00:00,1061,2026-03-03 18:40:08+00:00,0,TypeScript,541,12,469,337,0.7186
ShareX/ShareX,35748,2013-10-08 23:32:10+00:00,4528,2026-03-03 19:59:42+00:00,0,C#,774,85,7174,6609,0.9212
koajs/koa,35736,2013-07-20 18:53:45+00:00,4609,2026-03-03 03:38:52+00:00,0,JavaScript,541,16,932,914,0.9807
fastify/fastify,35725,2016-09-28 19:10:14+00:00,3443,2026-03-03 10:31:16+00:00,0,JavaScript,3261,306,2145,2070,0.965
doocs/leetcode,35712,2018-09-16 14:03:03+00:00,2725,2026-03-03 17:10:39+00:00,0,Java,4458,21,58,58,1.0
mattermost/mattermost,35637,2015-06-15 06:50:02+00:00,3914,2026-03-03 17:38:29+00:00,0,TypeScript,20511,934,9194,8656,0.9415
jondot/awesome-react-native,35619,2015-03-26 19:58:06+00:00,3995,2026-03-03 18:26:05+00:00,0,JavaScript,912,0,74,37,0.5
YunaiV/ruoyi-vue-pro,35615,2021-01-24 03:18:25+00:00,1864,2026-03-03 16:56:45+00:00,0,Java,73,54,742,739,0.996
jaywcjlove/linux-command,35590,2016-11-12 15:44:26+00:00,3398,2026-03-03 16:43:55+00:00,0,Markdown,370,32,209,133,0.6364
airbnb/lottie-android,35588,2016-10-06 22:42:42+00:00,3434,2026-03-03 10:06:54+00:00,0,Java,720,63,1811,1754,0.9685
junegunn/vim-plug,35579,2013-09-10 14:58:51+00:00,4557,2026-03-03 19:37:56+00:00,0,Vim Script,179,8,1041,972,0.9337
veggiemonk/awesome-docker,35571,2014-09-21 17:01:48+00:00,4181,2026-03-03 18:56:37+00:00,0,Makefile,991,1,140,136,0.9714
XTLS/Xray-core,35531,2020-11-09 11:23:10+00:00,1940,2026-03-03 19:15:17+00:00,0,Go,1205,106,2776,2753,0.9917
amruthpillai/reactive-resume,35529,2020-03-25 14:08:22+00:00,2169,2026-03-03 17:04:10+00:00,0,TypeScript,725,109,1839,1794,0.9755
umami-software/umami,35495,2020-07-17 07:59:00+00:00,2055,2026-03-03 19:45:59+00:00,0,TypeScript,868,106,2070,1974,0.9536
alvarotrigo/fullPage.js,35487,2013-09-20 11:58:29+00:00,4547,2026-03-03 09:49:35+00:00,0,JavaScript,326,108,4151,4041,0.9735
xyflow/xyflow,35463,2019-07-15 14:47:30+00:00,2423,2026-03-03 19:45:35+00:00,0,TypeScript,1468,369,2366,2274,0.9611
ueberdosis/tiptap,35418,2018-08-20 19:58:58+00:00,2752,2026-03-03 18:11:45+00:00,0,TypeScript,1503,950,3519,2713,0.771
nativefier/nativefier,35355,2015-07-05 05:56:42+00:00,3894,2026-03-03 05:57:40+00:00,0,TypeScript,261,99,1237,982,0.7939
vadimdemedes/ink,35329,2017-06-12 06:12:28+00:00,3186,2026-03-03 19:23:06+00:00,0,TypeScript,290,72,409,393,0.9609
solidjs/solid,35233,2018-04-24 16:36:27+00:00,2870,2026-03-03 15:06:17+00:00,0,TypeScript,395,35,1121,1012,0.9028
sahat/hackathon-starter,35213,2013-11-13 17:24:12+00:00,4493,2026-03-03 15:39:34+00:00,0,JavaScript,447,18,717,716,0.9986
unknwon/the-way-to-go_ZH_CN,35164,2013-03-24 17:18:38+00:00,4727,2026-03-03 15:16:00+00:00,0,Go,592,0,0,0,0.0
hashicorp/vault,35146,2015-02-25 00:15:59+00:00,4024,2026-03-03 19:47:00+00:00,0,Go,21322,174,6501,5289,0.8136
bumptech/glide,35033,2013-07-08 22:52:33+00:00,4620,2026-03-03 18:25:13+00:00,0,Java,605,54,4517,3935,0.8712
DioxusLabs/dioxus,35004,2021-01-15 01:57:26+00:00,1873,2026-03-03 19:40:01+00:00,0,Rust,1969,33,2443,1851,0.7577
jax-ml/jax,34990,2018-10-25 21:25:02+00:00,2685,2026-03-03 19:47:51+00:00,0,Python,17714,134,6874,5191,0.7552
geekan/HowToLiveLonger,34958,2022-04-16 04:15:18+00:00,1417,2026-03-03 16:44:21+00:00,0,,14,0,140,103,0.7357
pbatard/rufus,34929,2011-11-19 19:12:05+00:00,5218,2026-03-03 20:00:51+00:00,0,C,1,88,2625,2616,0.9966
zsh-users/zsh-autosuggestions,34926,2013-10-26 16:09:37+00:00,4511,2026-03-03 18:39:16+00:00,0,Shell,116,0,620,458,0.7387
sorrycc/awesome-javascript,34921,2014-07-01 15:59:02+00:00,4263,2026-03-03 18:57:16+00:00,0,,404,0,92,88,0.9565
LizardByte/Sunshine,34917,2021-12-15 23:38:57+00:00,1538,2026-03-03 18:35:31+00:00,0,C++,1717,45,1182,1107,0.9365
TriliumNext/Trilium,34855,2017-05-23 00:30:20+00:00,3206,2026-03-03 19:57:12+00:00,0,TypeScript,1799,348,5175,4318,0.8344
typicode/husky,34833,2014-06-23 12:14:21+00:00,4271,2026-03-03 18:57:20+00:00,0,JavaScript,262,80,1110,1031,0.9288
netty/netty,34833,2010-11-09 09:22:21+00:00,5593,2026-03-03 09:34:59+00:00,0,Java,5059,0,6847,6281,0.9173
geekcomputers/Python,34782,2011-11-30 09:04:08+00:00,5207,2026-03-03 19:36:08+00:00,0,Python,2016,0,530,159,0.3
BVLC/caffe,34780,2013-09-12 18:39:48+00:00,4555,2026-03-03 19:08:13+00:00,0,C++,1087,14,4801,3903,0.813
fxsjy/jieba,34777,2012-09-29 07:52:01+00:00,4903,2026-03-03 07:10:36+00:00,0,Python,96,9,873,231,0.2646
