nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
sqlmapproject/sqlmap,36770,2012-06-26 09:52:15+00:00,5001,2026-03-06 20:31:36+00:00,0,Python,180,11,5395,5354,0.9924
portainer/portainer,36764,2016-05-19 20:15:28+00:00,3578,2026-03-06 18:57:05+00:00,0,TypeScript,4784,176,6031,5345,0.8863
shadowsocks/shadowsocks-android,36685,2012-12-16 13:40:29+00:00,4828,2026-03-06 16:11:44+00:00,0,Kotlin,258,186,2513,2459,0.9785
inkonchain/ink-kit,36684,2024-11-04 16:32:17+00:00,487,2026-03-06 16:26:09+00:00,0,TypeScript,91,0,5,3,0.6
roboflow/supervision,36646,2022-11-28 14:08:44+00:00,1194,2026-03-06 19:33:01+00:00,0,Python,1120,35,517,431,0.8337
markedjs/marked,36632,2011-07-24 13:15:51+00:00,5339,2026-03-06 16:47:28+00:00,0,TypeScript,1642,166,1652,1643,0.9946
alebcay/awesome-shell,36599,2014-07-07 01:57:42+00:00,4260,2026-03-06 20:06:34+00:00,0,,307,0,64,23,0.3594
open-guides/og-aws,36595,2016-07-13 17:30:16+00:00,3523,2026-03-06 09:46:39+00:00,0,Shell,498,0,228,88,0.386
gkd-kit/gkd,36579,2023-07-04 03:59:15+00:00,976,2026-03-06 19:07:30+00:00,0,Kotlin,9,64,736,726,0.9864
date-fns/date-fns,36500,2014-10-06 10:24:22+00:00,4169,2026-03-06 14:57:37+00:00,0,TypeScript,1068,122,2038,1382,0.6781
duckdb/duckdb,36470,2018-06-26 15:04:45+00:00,2810,2026-03-06 20:23:52+00:00,0,C++,9610,56,6589,6051,0.9183
huggingface/pytorch-image-models,36453,2019-02-02 05:51:12+00:00,2589,2026-03-06 18:09:21+00:00,0,Python,523,75,1026,978,0.9532
chatanywhere/GPT_API_free,36431,2023-04-23 12:42:08+00:00,1048,2026-03-06 19:47:20+00:00,0,Python,1,0,419,365,0.8711
karpathy/LLM101n,36424,2024-05-27 00:23:38+00:00,648,2026-03-06 14:57:32+00:00,0,,0,0,0,0,0.0
DavidHDev/react-bits,36416,2024-08-06 06:54:54+00:00,577,2026-03-06 20:46:41+00:00,0,JavaScript,155,0,477,472,0.9895
fengdu78/Coursera-ML-AndrewNg-Notes,36404,2017-11-04 10:04:08+00:00,3044,2026-03-06 16:50:56+00:00,0,HTML,14,0,69,15,0.2174
typeorm/typeorm,36366,2016-02-29 07:41:14+00:00,3658,2026-03-06 19:03:58+00:00,0,TypeScript,2395,40,8557,8134,0.9506
666ghj/BettaFish,36295,2024-07-01 13:11:38+00:00,613,2026-03-06 19:34:45+00:00,0,Python,105,6,393,375,0.9542
SheetJS/sheetjs,36204,2012-12-03 19:25:52+00:00,4841,2026-03-06 09:06:59+00:00,0,,106,0,2386,2267,0.9501
hankcs/HanLP,36172,2014-10-09 06:36:16+00:00,4166,2026-03-06 16:00:03+00:00,0,Python,79,62,1434,1426,0.9944
slatedocs/slate,36158,2013-09-13 22:15:24+00:00,4556,2026-03-05 18:22:15+00:00,1,,298,28,609,559,0.9179
juanfont/headscale,36158,2020-06-21 09:21:05+00:00,2084,2026-03-06 20:37:33+00:00,0,Go,1233,132,1235,1158,0.9377
formulahendry/955.WLB,36141,2019-03-27 23:53:37+00:00,2535,2026-03-06 12:28:14+00:00,0,,18,0,263,81,0.308
lerna/lerna,36089,2015-12-04 09:36:55+00:00,3745,2026-03-05 09:41:55+00:00,1,TypeScript,1021,249,2693,2313,0.8589
myshell-ai/OpenVoice,36044,2023-11-29 12:17:01+00:00,828,2026-03-06 20:35:37+00:00,0,Python,18,0,348,73,0.2098
geekxh/hello-algorithm,36016,2020-05-29 05:47:09+00:00,2107,2026-03-06 11:40:43+00:00,0,Java,26,0,44,33,0.75
XingangPan/DragGAN,35972,2023-05-18 10:08:02+00:00,1023,2026-03-06 03:01:29+00:00,0,Python,18,0,192,46,0.2396
carbon-app/carbon,35966,2017-06-16 02:50:28+00:00,3185,2026-03-05 16:50:47+00:00,1,JavaScript,669,215,691,628,0.9088
aseprite/aseprite,35965,2014-08-19 23:44:50+00:00,4216,2026-03-06 19:59:09+00:00,0,C++,482,123,4482,2640,0.589
servo/servo,35902,2012-02-08 19:07:25+00:00,5140,2026-03-06 20:40:20+00:00,0,Rust,23092,5,15222,12339,0.8106
opentofu/manifesto,35889,2023-08-13 16:17:24+00:00,936,2026-03-06 15:31:58+00:00,0,HTML,765,0,26,14,0.5385
qbittorrent/qBittorrent,35834,2012-02-04 09:37:46+00:00,5144,2026-03-06 20:44:14+00:00,0,C++,4122,0,17276,14821,0.8579
deepseek-ai/awesome-deepseek-integration,35805,2024-01-11 02:43:17+00:00,785,2026-03-06 20:06:41+00:00,0,,289,0,156,154,0.9872
ShareX/ShareX,35788,2013-10-08 23:32:10+00:00,4531,2026-03-06 18:18:37+00:00,0,C#,774,85,7177,6611,0.9211
reworkd/AgentGPT,35776,2023-04-07 02:29:19+00:00,1064,2026-03-06 16:18:11+00:00,0,TypeScript,541,12,469,337,0.7186
fastify/fastify,35756,2016-09-28 19:10:14+00:00,3446,2026-03-06 20:37:41+00:00,0,JavaScript,3264,308,2146,2070,0.9646
koajs/koa,35739,2013-07-20 18:53:45+00:00,4612,2026-03-06 08:38:39+00:00,0,JavaScript,541,16,932,914,0.9807
doocs/leetcode,35731,2018-09-16 14:03:03+00:00,2728,2026-03-06 18:44:44+00:00,0,Java,4462,21,58,58,1.0
mattermost/mattermost,35692,2015-06-15 06:50:02+00:00,3917,2026-03-06 20:14:16+00:00,0,TypeScript,20550,937,9195,8657,0.9415
YunaiV/ruoyi-vue-pro,35673,2021-01-24 03:18:25+00:00,1867,2026-03-06 17:25:32+00:00,0,Java,73,54,742,739,0.996
XTLS/Xray-core,35627,2020-11-09 11:23:10+00:00,1943,2026-03-06 20:44:31+00:00,0,Go,1205,106,2779,2753,0.9906
jondot/awesome-react-native,35619,2015-03-26 19:58:06+00:00,3998,2026-03-06 20:24:22+00:00,0,JavaScript,912,0,75,37,0.4933
jaywcjlove/linux-command,35618,2016-11-12 15:44:26+00:00,3401,2026-03-06 14:04:17+00:00,0,Markdown,370,32,209,133,0.6364
veggiemonk/awesome-docker,35601,2014-09-21 17:01:48+00:00,4184,2026-03-06 20:06:46+00:00,0,Makefile,991,1,142,136,0.9577
airbnb/lottie-android,35592,2016-10-06 22:42:42+00:00,3437,2026-03-06 15:27:48+00:00,0,Java,720,63,1800,1752,0.9733
amruthpillai/reactive-resume,35592,2020-03-25 14:08:22+00:00,2172,2026-03-06 16:13:02+00:00,0,TypeScript,730,110,1850,1800,0.973
junegunn/vim-plug,35579,2013-09-10 14:58:51+00:00,4560,2026-03-05 22:47:20+00:00,0,Vim Script,179,8,1041,972,0.9337
umami-software/umami,35549,2020-07-17 07:59:00+00:00,2058,2026-03-06 19:58:54+00:00,0,TypeScript,871,106,2075,1979,0.9537
